Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.01,-6.979621908542334,-13.098424125635413,0.43684447935117576,-11.430143136396293,-0.35621392457862566
100% Corpus,10,0.01,0.1,-6.33204312581155,-12.858508434274437,0.4286657140602893,-11.349810952041285,-0.352396839901236
100% Corpus,10,0.01,0.5,-6.181109395660331,-12.9994134307188,0.4278069914168771,-11.4202219149083,-0.35429963153101623
100% Corpus,10,0.01,1,-6.231351210202951,-13.344776185179999,0.4563013709971959,-11.613136898433028,-0.36012862111404303
100% Corpus,10,0.01,symmetric,-6.332053602241077,-12.858508434274437,0.4286657140602893,-11.349810952041285,-0.352396839901236
100% Corpus,10,0.1,0.01,-6.999763939076032,-13.052824514652645,0.43586501632770336,-11.458531314865432,-0.3556360651552422
100% Corpus,10,0.1,0.1,-6.380365017482894,-13.067298928533646,0.4365333302042897,-11.304005797746871,-0.35108984409437777
100% Corpus,10,0.1,0.5,-6.249371834994633,-13.19667880002999,0.4429411312470949,-11.409596274637208,-0.3521885208106698
100% Corpus,10,0.1,1,-6.2885219959332215,-13.167893438993673,0.4383850249653391,-11.330785540374807,-0.3469324900565357
100% Corpus,10,0.1,symmetric,-6.352315654825789,-12.33885129888204,0.4241088914101175,-10.966100290783062,-0.32923662854177554
100% Corpus,10,0.5,0.01,-7.058030967160667,-11.80460806544028,0.39600942494970026,-10.60670864123765,-0.3150550280147244
100% Corpus,10,0.5,0.1,-6.438286955904363,-11.871604458317544,0.40048359543363493,-10.578175895103707,-0.3130300895977356
100% Corpus,10,0.5,0.5,-6.38082486965197,-11.739512255820994,0.39045133848052405,-10.462173950701006,-0.30878817651012846
100% Corpus,10,0.5,1,-6.438236323207847,-12.108521155590868,0.4070323804020952,-10.646334968677857,-0.31774772820803404
100% Corpus,10,0.5,symmetric,-6.4382090443512485,-11.87120333197436,0.40048359543363493,-10.578175895103707,-0.3130300895977356
100% Corpus,10,1,0.01,-7.243063282174902,-11.495239599566114,0.3907955268325508,-10.480010473381185,-0.30950843030226005
100% Corpus,10,1,0.1,-6.509234135182832,-11.212654138348643,0.38648674461879307,-10.202577480839446,-0.2971962002217175
100% Corpus,10,1,0.5,-6.4331953247809075,-10.673154519102711,0.35802027686113114,-9.581712335837917,-0.2618310600410324
100% Corpus,10,1,1,-6.502465301734025,-10.67405525997459,0.35701198921764954,-9.440347602186488,-0.25638190840965713
100% Corpus,10,1,symmetric,-6.509235248960259,-11.212654138348643,0.38648674461879307,-10.202577480839446,-0.2971962002217175
100% Corpus,10,symmetric,0.01,-6.998970104215179,-13.05252422788503,0.43586501632770336,-11.458531314865432,-0.3556360651552422
100% Corpus,10,symmetric,0.1,-6.380542773232281,-13.067519302394098,0.4365333302042897,-11.304005797746871,-0.35108984409437777
100% Corpus,10,symmetric,0.5,-6.24927920578735,-13.173567202252642,0.441629198558328,-11.401218584506273,-0.3518056966265613
100% Corpus,10,symmetric,1,-6.2888423095234165,-13.139947539921739,0.43982875972514873,-11.342288420712423,-0.348013593798063
100% Corpus,10,symmetric,symmetric,-6.38051728323368,-13.06692595412991,0.4365333302042897,-11.304005797746871,-0.35108984409437777
100% Corpus,10,asymmetric,0.01,-6.985501345240082,-13.16842896537025,0.44248925541314615,-11.275158059531096,-0.34729668604096975
100% Corpus,10,asymmetric,0.1,-6.38363768236179,-12.80007311334686,0.42270301638248126,-11.12981357437666,-0.33938771688087577
100% Corpus,10,asymmetric,0.5,-6.265345768970773,-12.58798577402717,0.4372162049186574,-11.103248775008423,-0.33929021564832507
100% Corpus,10,asymmetric,1,-6.2989075641980845,-12.312593165219283,0.4344977437440008,-10.966069314435373,-0.3331453057697039
100% Corpus,10,asymmetric,symmetric,-6.383558576484378,-12.959471092203131,0.42118215373406154,-11.247794295030198,-0.3441757874312702
100% Corpus,13,0.01,0.01,-6.925789224461829,-12.288634442284538,0.3974681259857698,-10.983256727332805,-0.33315447790656816
100% Corpus,13,0.01,0.1,-6.2795822670231125,-12.012845657040872,0.3862962830215413,-10.720204881563784,-0.32081824648436247
100% Corpus,13,0.01,0.5,-6.17238507068339,-12.172527959385304,0.40349107610165696,-10.85346380684945,-0.3225983535360473
100% Corpus,13,0.01,1,-6.2309087436103265,-12.736452750407922,0.43031750231416055,-11.234144017500947,-0.3396673036892264
100% Corpus,13,0.01,symmetric,-6.316545415505898,-11.978547635743574,0.38459032272693705,-10.788718274361003,-0.3249590481094674
100% Corpus,13,0.1,0.01,-6.987463734498063,-12.573890306254935,0.4024734084218552,-11.228567931826039,-0.34263590884318496
100% Corpus,13,0.1,0.1,-6.349797774355411,-12.285401183334272,0.39066074942803986,-10.99717052027187,-0.3316781010141828
100% Corpus,13,0.1,0.5,-6.263746865457006,-11.99664353495704,0.40180154931824824,-10.659929740959532,-0.31411731508980323
100% Corpus,13,0.1,1,-6.320446951180307,-12.654002640314616,0.42026528695593657,-11.201280263843167,-0.3390018467932647
100% Corpus,13,0.1,symmetric,-6.391415031979696,-12.30044367739102,0.39604593979242825,-11.000139946387767,-0.3324496341258503
100% Corpus,13,0.5,0.01,-7.11245558594517,-12.406271137961888,0.38878600160298166,-10.842352124268775,-0.3241696808712291
100% Corpus,13,0.5,0.1,-6.4852833201805495,-12.166972841152038,0.3779150776237502,-10.679311711068575,-0.31721883882842977
100% Corpus,13,0.5,0.5,-6.449100875231923,-12.29021654811034,0.3818442957539714,-10.816574367800037,-0.32031559613413135
100% Corpus,13,0.5,1,-6.504766885293441,-12.060071699125201,0.37316027057294876,-10.466108275590322,-0.3025446566020344
100% Corpus,13,0.5,symmetric,-6.516861593722503,-12.214998577999848,0.37920101408408724,-10.771193746323977,-0.3212673694412087
100% Corpus,13,1,0.01,-7.340940725253863,-12.314957698582507,0.3799572344744827,-10.696781773889246,-0.31179263499869886
100% Corpus,13,1,0.1,-6.552240247721318,-12.397302812380868,0.3804903254849744,-10.797660531926157,-0.3139407834845634
100% Corpus,13,1,0.5,-6.531736180725014,-10.786834643020407,0.3441364849796317,-9.755746620152436,-0.26802470829933145
100% Corpus,13,1,1,-6.60894666043379,-9.383777364992216,0.35333116170302886,-8.953484383077296,-0.23581214568736514
100% Corpus,13,1,symmetric,-6.588308310087064,-12.156037588833604,0.3736152953468278,-10.723951234263684,-0.3116365569465331
100% Corpus,13,symmetric,0.01,-6.9824775254967815,-12.456728253477017,0.4029387222577363,-11.114677331967878,-0.3387637035497606
100% Corpus,13,symmetric,0.1,-6.330799636469502,-12.001878370551152,0.3885923381265908,-10.837428350657692,-0.32622423962242625
100% Corpus,13,symmetric,0.5,-6.241296031944853,-11.93679223277083,0.39996350587202184,-10.583787976917991,-0.31193085528152853
100% Corpus,13,symmetric,1,-6.300831616726869,-12.471521932916316,0.4171668942452328,-11.170034318134324,-0.3378716225719292
100% Corpus,13,symmetric,symmetric,-6.374758975945121,-12.279937454195782,0.39214507871871074,-11.012315961512321,-0.3332394060434835
100% Corpus,13,asymmetric,0.01,-6.956654274921052,-12.915063171764272,0.4111227972992429,-11.342817985350921,-0.3447604124073572
100% Corpus,13,asymmetric,0.1,-6.319453163533537,-13.022262229057173,0.4168167150872156,-11.281069925256519,-0.3408162421843776
100% Corpus,13,asymmetric,0.5,-6.237925443837016,-12.216593134528853,0.41573894905929315,-10.638364236956887,-0.31164597635669566
100% Corpus,13,asymmetric,1,-6.284504310475836,-11.618085020912975,0.39462056147510377,-10.281218238143188,-0.29515217744788647
100% Corpus,13,asymmetric,symmetric,-6.362908369520331,-12.882539274149064,0.41583472493316126,-11.191614408379126,-0.3371486144594504
100% Corpus,16,0.01,0.01,-6.889348194626469,-12.57547370372648,0.41642329415632007,-11.188497859087382,-0.3395597313293467
100% Corpus,16,0.01,0.1,-6.227781681415878,-12.636932785053736,0.4106973748449104,-11.276240314711108,-0.3418439949436458
100% Corpus,16,0.01,0.5,-6.155500789866538,-12.715840286943942,0.41848804781716203,-11.346749904304177,-0.348417191605343
100% Corpus,16,0.01,1,-6.217339806979318,-13.008390617768507,0.4377522756889187,-11.475575559767575,-0.3538212714803157
100% Corpus,16,0.01,symmetric,-6.313956261548699,-12.456140968841147,0.4096648312009238,-11.152685896178289,-0.3383355314468188
100% Corpus,16,0.1,0.01,-6.968576265420083,-12.654710812506025,0.41387941099642056,-11.233324552522065,-0.3426853270258998
100% Corpus,16,0.1,0.1,-6.323290273312915,-12.685309206159278,0.4112359394636278,-11.271032816022734,-0.34208778499898274
100% Corpus,16,0.1,0.5,-6.2698874785809275,-12.63463756406573,0.4131384950436923,-11.251185045797104,-0.3417506347948497
100% Corpus,16,0.1,1,-6.344404219374033,-12.667421795125582,0.4233672657719926,-11.315477576146055,-0.3480839089067437
100% Corpus,16,0.1,symmetric,-6.402556419753723,-12.765355689815262,0.41298446504240827,-11.395978849317093,-0.34860018607240173
100% Corpus,16,0.5,0.01,-7.110779014740377,-12.351750600765634,0.3816781352253109,-11.021935001544303,-0.3294447461089515
100% Corpus,16,0.5,0.1,-6.488313371789573,-12.440267754903045,0.3867989245395218,-10.891494174237852,-0.323452508832785
100% Corpus,16,0.5,0.5,-6.506046996362331,-12.28797373815034,0.3832690374837411,-10.714313657541021,-0.31760283507778897
100% Corpus,16,0.5,1,-6.573303251763741,-11.571522300370482,0.35645554104060373,-10.293593199118641,-0.2988184837896177
100% Corpus,16,0.5,symmetric,-6.540340567195762,-12.298128674124428,0.38135252351029403,-10.797683991349686,-0.31840692462603903
100% Corpus,16,1,0.01,-7.382899129727015,-11.429557379795291,0.3695775430263858,-10.305624975162154,-0.2943572900853412
100% Corpus,16,1,0.1,-6.5812632576556265,-11.281611375544797,0.3688081293094734,-10.0047200975981,-0.27970975937801057
100% Corpus,16,1,0.5,-6.6152937378175505,-9.756094462041366,0.35283369585138846,-9.213371432250618,-0.24742132937013014
100% Corpus,16,1,1,-6.714374342505976,-7.824268666827062,0.3796424034288618,-8.163787728013961,-0.21412188057165854
100% Corpus,16,1,symmetric,-6.641329410745245,-11.36221514991829,0.3722905084615292,-10.118685981415862,-0.2848760585047536
100% Corpus,16,symmetric,0.01,-6.936814691753283,-12.53921875729948,0.4031522979741472,-11.09766031639261,-0.33552253261252185
100% Corpus,16,symmetric,0.1,-6.2849238448514,-12.544105349692495,0.4057111374215766,-11.182733404971039,-0.3401305884553826
100% Corpus,16,symmetric,0.5,-6.223024361441048,-12.697446412342368,0.40691442004582723,-11.323525046635982,-0.34618602624811884
100% Corpus,16,symmetric,1,-6.297951038530786,-12.761255943944153,0.4307152185123047,-11.311222068267273,-0.3458781928573625
100% Corpus,16,symmetric,symmetric,-6.3612640014083555,-12.73802769473459,0.41664803726141714,-11.330821933130542,-0.3455395663140087
100% Corpus,16,asymmetric,0.01,-6.903420491112794,-12.718610852180115,0.4203969480381915,-11.300890198731267,-0.34387048541211046
100% Corpus,16,asymmetric,0.1,-6.266279157958856,-12.332765177743761,0.4067634644029192,-11.011971689869084,-0.3291260013823226
100% Corpus,16,asymmetric,0.5,-6.2267212379369425,-12.238818471859503,0.42938521674689806,-10.842288560114406,-0.3216970607010077
100% Corpus,16,asymmetric,1,-6.293297606501743,-11.85167562682529,0.4153242285166528,-10.661060942254593,-0.31280063867816504
100% Corpus,16,asymmetric,symmetric,-6.3441549910248805,-12.334922997159225,0.40433927812811543,-11.058222887978527,-0.33203694812682666
100% Corpus,19,0.01,0.01,-6.915543811317844,-13.029177283784028,0.4121416712888969,-11.548988903545016,-0.3567978462642205
100% Corpus,19,0.01,0.1,-6.239731455010841,-12.918339982061198,0.41233345961803136,-11.57501352727175,-0.358933392053754
100% Corpus,19,0.01,0.5,-6.171078864092942,-13.053917211253564,0.4270342349791766,-11.477294834738581,-0.354671629263532
100% Corpus,19,0.01,1,-6.24744471697181,-12.847959187031444,0.4205625473062792,-11.294575968055097,-0.3457552661676703
100% Corpus,19,0.01,symmetric,-6.354630916869993,-12.936855484132689,0.4139867211107667,-11.531308377586683,-0.3565399557104411
100% Corpus,19,0.1,0.01,-7.0085396108200415,-12.723986745999076,0.4011082763515976,-11.308187066965344,-0.344012224782619
100% Corpus,19,0.1,0.1,-6.350188615844309,-13.166504695843372,0.41871410898106004,-11.555770412728755,-0.35685174281940346
100% Corpus,19,0.1,0.5,-6.318438794306047,-13.117129159782818,0.4273933665191708,-11.686119438331577,-0.364136382584368
100% Corpus,19,0.1,1,-6.386014254004867,-12.502101448137564,0.40737505384148887,-11.150560738751153,-0.34041108645881557
100% Corpus,19,0.1,symmetric,-6.457930786210062,-13.01191234273994,0.40980052931843686,-11.443383465101162,-0.35108720439389995
100% Corpus,19,0.5,0.01,-7.125716264263617,-12.233525637883044,0.3749747154693474,-10.543986260156807,-0.30768767887688836
100% Corpus,19,0.5,0.1,-6.510676481605942,-12.217893344930838,0.37213326702871324,-10.588844549662856,-0.3093195765694232
100% Corpus,19,0.5,0.5,-6.555507103236809,-11.35508367124819,0.3682215919524869,-10.119916224511433,-0.29153041201629154
100% Corpus,19,0.5,1,-6.630144199227892,-10.89510606496121,0.35271637460253985,-9.733053564754309,-0.2750933433237219
100% Corpus,19,0.5,symmetric,-6.579283950723809,-12.282412511019531,0.3751560557854577,-10.61681674705067,-0.31034841457761453
100% Corpus,19,1,0.01,-7.46177697440998,-11.666367489707127,0.3817390039661556,-10.325570213881852,-0.293284729264216
100% Corpus,19,1,0.1,-6.625965685264773,-11.14144780164532,0.37170351675957297,-10.009348020044209,-0.2810188672005175
100% Corpus,19,1,0.5,-6.69110998369668,-8.265742733499627,0.40253202324656495,-8.412812514619546,-0.20618253771079173
100% Corpus,19,1,1,-6.814128214460141,-7.465993613573657,0.35933834819532967,-7.820713905351768,-0.2078641988863637
100% Corpus,19,1,symmetric,-6.715344956253879,-11.551475358305439,0.38160860817621517,-10.221460966437288,-0.2889868653616842
100% Corpus,19,symmetric,0.01,-6.965807728963695,-13.04480858233111,0.40555450854029584,-11.491190449100651,-0.35286652017303893
100% Corpus,19,symmetric,0.1,-6.288757805423422,-13.023334199169991,0.4121658589308675,-11.56269831152789,-0.35769290667096265
100% Corpus,19,symmetric,0.5,-6.242417593654111,-12.902169652450459,0.42215940597007634,-11.528426676586173,-0.35804278718715987
100% Corpus,19,symmetric,1,-6.315571945792924,-12.584292595497567,0.4120781581984328,-11.151565736416165,-0.3399338096227284
100% Corpus,19,symmetric,symmetric,-6.404089852298002,-13.136181324760088,0.412493940850342,-11.561838683498456,-0.35699109662912865
100% Corpus,19,asymmetric,0.01,-6.930508321780953,-12.351027198754993,0.3894122290897767,-11.010280952556386,-0.33389450779967356
100% Corpus,19,asymmetric,0.1,-6.280197598387519,-12.593255111657216,0.39369304721288184,-11.216396998407363,-0.34402471290665515
100% Corpus,19,asymmetric,0.5,-6.229687740000413,-12.803161951682876,0.4236664192798562,-11.372416318504856,-0.3488950753830205
100% Corpus,19,asymmetric,1,-6.309876372075354,-12.00629223305064,0.4299727929230185,-10.741629828408703,-0.3202389506087855
100% Corpus,19,asymmetric,symmetric,-6.39219224117071,-12.38163512198195,0.3899272974874341,-11.19353524267069,-0.34432086672564205
100% Corpus,22,0.01,0.01,-6.854669372933548,-12.699466229994522,0.3967329080877036,-11.156931292625826,-0.3380093218036473
100% Corpus,22,0.01,0.1,-6.18682520417906,-12.840470641369569,0.4064661735369461,-11.295710007811413,-0.34469972089701756
100% Corpus,22,0.01,0.5,-6.167502514726157,-12.727175629555456,0.41059689127489063,-11.417460030304577,-0.3535044580479333
100% Corpus,22,0.01,1,-6.253828571310781,-12.16266260057348,0.40658958481286134,-11.043733220943594,-0.3371352149159834
100% Corpus,22,0.01,symmetric,-6.331694882149669,-12.913026941449107,0.40887073295188064,-11.265021839428217,-0.34175729688674
100% Corpus,22,0.1,0.01,-7.009562514525809,-12.491860535306877,0.39838958405625713,-11.142618075001335,-0.3377624688504641
100% Corpus,22,0.1,0.1,-6.327574397162568,-12.535100746875655,0.40004809453915874,-11.10311016654931,-0.33600903486499356
100% Corpus,22,0.1,0.5,-6.315268246628207,-12.673195600102913,0.41461601017596833,-11.244908119174049,-0.3448343647108621
100% Corpus,22,0.1,1,-6.409148141189858,-12.157574184044472,0.4101868983935375,-11.095563121606467,-0.33941443035279195
100% Corpus,22,0.1,symmetric,-6.474209217700582,-12.596563998370902,0.4036687548125736,-11.202314784851845,-0.33994615478952467
100% Corpus,22,0.5,0.01,-7.094863650232926,-11.974269208191412,0.3734231928497293,-10.46241464271493,-0.3020468453414964
100% Corpus,22,0.5,0.1,-6.51971810323586,-12.05355525727498,0.37186006255646603,-10.363087636622707,-0.29732585189697547
100% Corpus,22,0.5,0.5,-6.598541396520407,-11.181489647336052,0.36967578494002,-9.81252690252624,-0.27291447873781755
