Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.01,-6.702662219155325,-13.506512300574155,0.44917189508801625,-11.652375129999832,-0.366881698741468
100% Corpus,10,0.01,0.1,-6.132882066777204,-13.789834035681332,0.45486135820631,-11.796901136217661,-0.37218949475146257
100% Corpus,10,0.01,1.0,-6.078706708731155,-13.530372119586143,0.4516524183479917,-11.594294187894253,-0.3657094903666829
100% Corpus,10,0.1,0.01,-6.720535517234178,-13.349082807508386,0.4415893403814774,-11.462526233797899,-0.35703856192227185
100% Corpus,10,0.1,0.1,-6.164110746113736,-13.193480239405492,0.43744712467791447,-11.427440632393573,-0.3564009170304131
100% Corpus,10,0.1,1.0,-6.123551610614442,-13.224919376528163,0.43642770815062165,-11.358293106310848,-0.35339992318865854
100% Corpus,10,1.0,0.01,-6.951740007629892,-13.06403186513732,0.4304015954759716,-11.112716646232764,-0.3392831446005182
100% Corpus,10,1.0,0.1,-6.308092415123845,-12.467361879021421,0.40486917391957994,-10.68099246280576,-0.32089679676727206
100% Corpus,10,1.0,1.0,-6.318939537808233,-12.48542142519727,0.3796812591288656,-10.384647588101,-0.3062155721360601
100% Corpus,15,0.01,0.01,-6.647331221976688,-13.673084866363585,0.4250175813175647,-11.5791987274475,-0.3589445824984976
100% Corpus,15,0.01,0.1,-6.039532560544629,-13.20833375906207,0.4119936804709201,-11.309423528876657,-0.3482740219233545
100% Corpus,15,0.01,1.0,-6.070547902924199,-13.884970976026123,0.4374303559566288,-11.807420331638875,-0.37190086071976947
100% Corpus,15,0.1,0.01,-6.69729548236111,-13.266169798967901,0.4099306495446164,-11.215845593707561,-0.3448727610192025
100% Corpus,15,0.1,0.1,-6.116757775631486,-13.82250230933714,0.4353543922280371,-11.681107513852043,-0.36385766911948175
100% Corpus,15,0.1,1.0,-6.155529830447112,-13.539830026296293,0.4240326122415008,-11.565124530106296,-0.36183079549145947
100% Corpus,15,1.0,0.01,-7.026053363775099,-12.667086211913805,0.3787241295799387,-10.655883779807617,-0.31355160891222905
100% Corpus,15,1.0,0.1,-6.348029992373632,-12.692419116769985,0.3806943663865623,-10.574147096268273,-0.3095544335985038
100% Corpus,15,1.0,1.0,-6.452085934917947,-10.653740975426608,0.3620910248491756,-9.438264759537297,-0.25983172804049753
100% Corpus,20,0.01,0.01,-6.559860975554363,-13.27528965655084,0.4081138418359432,-11.233004664700594,-0.3409916443490833
100% Corpus,20,0.01,0.1,-5.967526525139066,-13.20970326160573,0.406025322387788,-11.191207654896365,-0.34031963637888024
100% Corpus,20,0.01,1.0,-6.066964982876033,-13.574824447658553,0.4333135993558795,-11.538692463285297,-0.3548005289789692
100% Corpus,20,0.1,0.01,-6.660292483496685,-13.247061940582006,0.40589545643372943,-11.164842193993088,-0.3377675637167458
100% Corpus,20,0.1,0.1,-6.072711627658576,-13.115076846849382,0.4059047379611053,-11.18143130725318,-0.3403163523189143
100% Corpus,20,0.1,1.0,-6.173606560156581,-13.862346390751409,0.42289071704303477,-11.690909723661907,-0.36025317671503476
100% Corpus,20,1.0,0.01,-7.095435171785431,-12.430823334318498,0.387216050290499,-10.655682002498278,-0.31341973971913034
100% Corpus,20,1.0,0.1,-6.405679058764827,-12.02707394229299,0.3993454191332529,-10.332120440697194,-0.29863551242726455
100% Corpus,20,1.0,1.0,-6.592776367472259,-10.691836740455397,0.4088790010758693,-9.696105886817637,-0.277925516056047
100% Corpus,25,0.01,0.01,-6.506867238478331,-13.231700428721052,0.41276963475456374,-11.316406993492347,-0.3439918531670629
100% Corpus,25,0.01,0.1,-5.915391394930888,-12.800572815207518,0.43567198069732505,-11.18757472599212,-0.340346147417456
