Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.01,-7.282826146201727,-5.841994877802906,0.30574109959720197,-4.337420521437654,-0.14325200253942427
100% Corpus,10,0.01,0.1,-6.910270482487413,-5.684615113354003,0.310894814895317,-4.195698118197829,-0.1388072686313027
100% Corpus,10,0.01,1.0,-6.873555482343334,-6.2687342719968075,0.34483089964731134,-4.764604514102956,-0.15661544482893325
100% Corpus,10,0.1,0.01,-7.3020173188370245,-5.740274245442314,0.3013237318221311,-4.2852424229210175,-0.14019985032191298
100% Corpus,10,0.1,0.1,-6.928084577104235,-5.754997037598605,0.29769729859194655,-4.281754138871294,-0.14035910024296325
100% Corpus,10,0.1,1.0,-6.908325999939621,-6.0403363529101854,0.33019715194003835,-4.628288682636311,-0.15148934190287344
100% Corpus,10,1.0,0.01,-7.614076898959758,-6.05947572789725,0.2843966359534669,-4.683749597342576,-0.15255437309450962
100% Corpus,10,1.0,0.1,-7.122504706747105,-6.032888988985189,0.2837085523025168,-4.668641928841133,-0.15122923719741793
100% Corpus,10,1.0,1.0,-7.093559349774936,-6.42640130498781,0.3140347738589081,-4.991433562447853,-0.15917722363351555
100% Corpus,15,0.01,0.01,-7.311329523692121,-6.748196639363454,0.3287278686021725,-5.197439379460312,-0.1663547888414997
100% Corpus,15,0.01,0.1,-6.864361706112424,-6.525540994949099,0.32748734682032443,-5.03931127463092,-0.1609054893617567
100% Corpus,15,0.01,1.0,-6.875494645695738,-6.913197416182344,0.33772109021697455,-5.203085081051577,-0.1698328754551316
100% Corpus,15,0.1,0.01,-7.354290672360212,-6.838027700487739,0.32639736188079643,-5.2529295352481915,-0.16853155545518464
100% Corpus,15,0.1,0.1,-6.908305145260523,-6.898724111860363,0.3284681038115346,-5.434392432250059,-0.17502615433119895
100% Corpus,15,0.1,1.0,-6.942297624419027,-6.806507035555243,0.3364293302292717,-5.179626759368356,-0.1694642791795803
100% Corpus,15,1.0,0.01,-7.8609702184744625,-7.513953813144238,0.3390960719166433,-5.8521161843176195,-0.18517573187054248
100% Corpus,15,1.0,0.1,-7.210677596545306,-7.651825597734959,0.33661270989298586,-5.830806804829338,-0.18341453774951672
100% Corpus,15,1.0,1.0,-7.225843080480806,-6.662654363403054,0.32714973327181834,-5.027234749449233,-0.15311041606406348
100% Corpus,20,0.01,0.01,-7.341532002561678,-7.223596598208959,0.336675690880173,-5.867074754273711,-0.19075747745544835
100% Corpus,20,0.01,0.1,-6.851469938247236,-7.256415521459848,0.3347716914987874,-5.92403885116716,-0.1940875180148957
100% Corpus,20,0.01,1.0,-6.894122461083254,-7.7161230750008105,0.3434410226737484,-5.908643175237832,-0.19239900779628943
100% Corpus,20,0.1,0.01,-7.4083470476126925,-7.017906224533699,0.32221488330267034,-5.667292965646226,-0.1828783457216919
100% Corpus,20,0.1,0.1,-6.9144036977963905,-7.286242954729237,0.33409610013386015,-5.922301148274058,-0.19277079307751513
100% Corpus,20,0.1,1.0,-6.980888776239016,-7.561490368102541,0.3367677423260493,-5.902852099513574,-0.1896265191234412
100% Corpus,20,1.0,0.01,-8.106682389193216,-8.727566469634954,0.3488678178505638,-6.759445326822231,-0.2144895320681693
100% Corpus,20,1.0,0.1,-7.322020557803801,-8.493406129245843,0.3577526207021476,-6.511758237671982,-0.20596240247341885
100% Corpus,20,1.0,1.0,-7.372203411451169,-5.524338926473591,0.3120780383977465,-4.111567664331539,-0.12584667953180678
100% Corpus,25,0.01,0.01,-7.361841408020225,-7.8159987009302965,0.3532743357230864,-6.153495810031923,-0.2001263401857111
100% Corpus,25,0.01,0.1,-6.84161674386246,-7.60636495154827,0.35415196985424147,-5.9857074627301525,-0.1946295992202118
100% Corpus,25,0.01,1.0,-6.913198914796571,-8.261879101938753,0.3803404139961154,-6.659489061781231,-0.22150446732838489
100% Corpus,25,0.1,0.01,-7.455189510568888,-7.92082015276792,0.3501763151166732,-6.206228372917674,-0.2010778170207733
100% Corpus,25,0.1,0.1,-6.931435281965903,-7.758107625391976,0.34919041451771293,-6.068307468504026,-0.1952477534270035
100% Corpus,25,0.1,1.0,-7.032099508273104,-8.196882264504953,0.3680031927954406,-6.57069164314609,-0.21561485574764613
100% Corpus,25,1.0,0.01,-8.328088583015408,-8.771874646711822,0.3611209251602252,-6.840747015553323,-0.21002626374086625
100% Corpus,25,1.0,0.1,-7.432460051028748,-8.745375394442034,0.3673667651523171,-6.643658026432508,-0.2012576522722827
100% Corpus,25,1.0,1.0,-7.514060488749586,-4.653174042619629,0.31199399932398514,-3.0953570392867586,-0.0981284039120715
100% Corpus,30,0.01,0.01,-7.371268619099178,-7.7850191540536935,0.3286508624829378,-6.285380141097641,-0.2029584400498801
100% Corpus,30,0.01,0.1,-6.828478466099596,-7.862056791531064,0.3413177729954156,-6.391737856221613,-0.20812054145536296
100% Corpus,30,0.01,1.0,-6.935350538412651,-8.31921963680475,0.35746621539470286,-6.587399462719969,-0.21350505308742876
100% Corpus,30,0.1,0.01,-7.490132642670321,-7.982906572685613,0.34207363788863304,-6.479272357630505,-0.2096400788767917
100% Corpus,30,0.1,0.1,-6.947994799552749,-7.996415563405661,0.3431618174104091,-6.466881886001408,-0.21005163442174915
100% Corpus,30,0.1,1.0,-7.0744774511249995,-8.36359253381333,0.3617364464707656,-6.66378397106266,-0.21663234119022642
100% Corpus,30,1.0,0.01,-8.53342224371102,-9.669425367918569,0.37101850143269033,-7.523782169713206,-0.23521656760199372
100% Corpus,30,1.0,0.1,-7.543915205651358,-9.093454899967604,0.36112174145368703,-6.881709214930203,-0.2100271307911129
100% Corpus,30,1.0,1.0,-7.655805338551172,-3.524408177713182,0.29657299352874333,-1.98157672134646,-0.06511175777503964
