Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.01,-6.459266907356038,-13.461942113536981,0.4337034856030829,-11.454287130550977,-0.34293305064978885
100% Corpus,10,0.01,0.1,-5.895227745162594,-13.787456151914625,0.419569031050999,-11.752207569825307,-0.3546381779981013
100% Corpus,10,0.01,1.0,-5.855334019529586,-13.8260839709633,0.41816722316804755,-11.779915295575671,-0.36229499934026554
100% Corpus,10,0.1,0.01,-6.497703999859725,-13.484104769735614,0.4230886565856961,-11.622103480871235,-0.3505238133769848
100% Corpus,10,0.1,0.1,-5.937314391374497,-13.666225939693206,0.42484397180713784,-11.639301465095526,-0.35072724609612693
100% Corpus,10,0.1,1.0,-5.933621928833499,-13.8854676024724,0.4142695708999846,-11.791524601082134,-0.36383801857796494
100% Corpus,10,1.0,0.01,-6.714443203654802,-12.44795450884346,0.39791764906185484,-10.756607759996495,-0.3105388156648109
100% Corpus,10,1.0,0.1,-6.082501742373145,-12.376664416846998,0.4088903421390412,-10.701450834716365,-0.304231512090131
100% Corpus,10,1.0,1.0,-6.139923814499732,-11.694859121800377,0.36927211178014047,-10.320881250154246,-0.29178421135208954
100% Corpus,15,0.01,0.01,-6.3411198857397135,-12.810324246636103,0.40652286319650965,-11.320569016515266,-0.3375504082149619
100% Corpus,15,0.01,0.1,-5.791352840036903,-13.322158358710096,0.39908930276843296,-11.516646282729079,-0.3472935980584172
100% Corpus,15,0.01,1.0,-5.852255459591145,-13.73739430255431,0.42940674513077715,-11.732474187991572,-0.35795130417114135
100% Corpus,15,0.1,0.01,-6.388983374298391,-12.585034735682514,0.3971422964798888,-11.093648408527995,-0.32499675745951606
100% Corpus,15,0.1,0.1,-5.847662888359497,-12.62267994609368,0.3958090543761007,-11.113383831638263,-0.32610505168589926
100% Corpus,15,0.1,1.0,-5.955662824185133,-13.887929010949,0.41836745564994066,-11.814357665915752,-0.3601282048558551
100% Corpus,15,1.0,0.01,-6.725520119808688,-11.63334264330079,0.3533972837780855,-10.38064099161205,-0.2894828454402311
100% Corpus,15,1.0,0.1,-6.093283676343026,-11.517463991273006,0.3719617177008898,-10.199719640832708,-0.279245055620566
100% Corpus,15,1.0,1.0,-6.277066196809379,-10.629694864223234,0.37678787466959346,-9.657408208565164,-0.25672508669221766
100% Corpus,20,0.01,0.01,-6.353362824906853,-13.241812484736485,0.4003540099753572,-11.337450333919515,-0.3373247163687096
100% Corpus,20,0.01,0.1,-5.759881446230234,-12.74138288082938,0.411815582930079,-11.058841347528958,-0.3258280530964885
100% Corpus,20,0.01,1.0,-5.829443161497112,-12.54013775497684,0.4078497265754025,-11.034790432112171,-0.32654496265215516
100% Corpus,20,0.1,0.01,-6.442765499287131,-12.68937777557298,0.38998215028201033,-11.029812199717561,-0.32341033908063915
100% Corpus,20,0.1,0.1,-5.872360199826052,-12.967241731286654,0.39441881073312623,-11.100790526244813,-0.326483187779619
100% Corpus,20,0.1,1.0,-5.982070983296029,-12.78306297487873,0.40642754268088616,-11.3417286415885,-0.34070402176194053
100% Corpus,20,1.0,0.01,-6.785262393070738,-10.491083936440138,0.3925343180249684,-9.621742690563705,-0.2529712743818976
100% Corpus,20,1.0,0.1,-6.152160972402192,-9.89405825476661,0.3888669113849708,-9.287380181625771,-0.23478238109764832
100% Corpus,20,1.0,1.0,-6.420470494365565,-10.362086440734203,0.4445856251138238,-9.856217620742566,-0.28187225312173125
100% Corpus,25,0.01,0.01,-6.20450240882044,-12.178922001293792,0.3826322138367589,-10.736840308786853,-0.30799357721926723
100% Corpus,25,0.01,0.1,-5.661541831849167,-11.93055447419924,0.41126148198718754,-10.613150691503542,-0.2993068882287665
100% Corpus,25,0.01,1.0,-5.8367427859770284,-12.43882789870713,0.40639401986871027,-11.071476983470323,-0.32358544520712296
100% Corpus,25,0.1,0.01,-6.330744374778919,-11.880346802271358,0.42863825956019413,-10.761105813939942,-0.3089475189580779
100% Corpus,25,0.1,0.1,-5.7989536797782435,-11.918544224996602,0.3826100149916858,-10.547579341669495,-0.29687793455453376
100% Corpus,25,0.1,1.0,-5.99274103952925,-12.025671234778326,0.41286042705007936,-10.689219780825406,-0.3053442993361211
100% Corpus,25,1.0,0.01,-6.817077988944522,-10.313071290282542,0.43417170124883675,-9.907683650666995,-0.2621245925990896
100% Corpus,25,1.0,0.1,-6.197438327801291,-8.468720659577286,0.47538483351317784,-8.823612094281398,-0.21021215571811067
